Bootstrap_ID,Draw_order,Time_block,Block_start,Block_end,N_years,N_year_age_rows,N_training_rows_in_replicate,N_unique_years_in_replicate
26,5,6,2015,2019,5,25,175,20
26,6,6,2015,2019,5,25,175,20
26,7,2,1995,1999,5,25,175,20
27,1,4,2005,2009,5,25,170,34
27,2,7,2020,2023,4,20,170,34
27,3,2,1995,1999,5,25,170,34
27,4,1,1990,1994,5,25,170,34
27,5,6,2015,2019,5,25,170,34
27,6,5,2010,2014,5,25,170,34
27,7,3,2000,2004,5,25,170,34
28,1,5,2010,2014,5,25,170,24
28,2,4,2005,2009,5,25,170,24
28,3,1,1990,1994,5,25,170,24
28,4,1,1990,1994,5,25,170,24
28,5,5,2010,2014,5,25,170,24
28,6,7,2020,2023,4,20,170,24
28,7,6,2015,2019,5,25,170,24
29,1,3,2000,2004,5,25,170,29
29,2,6,2015,2019,5,25,170,29
29,3,2,1995,1999,5,25,170,29
29,4,5,2010,2014,5,25,170,29
29,5,7,2020,2023,4,20,170,29
29,6,6,2015,2019,5,25,170,29
29,7,1,1990,1994,5,25,170,29
30,1,2,1995,1999,5,25,175,20
30,2,4,2005,2009,5,25,175,20
30,3,2,1995,1999,5,25,175,20
30,4,5,2010,2014,5,25,175,20
30,5,1,1990,1994,5,25,175,20
30,6,5,2010,2014,5,25,175,20
30,7,4,2005,2009,5,25,175,20
31,1,1,1990,1994,5,25,165,19
31,2,2,1995,1999,5,25,165,19
31,3,7,2020,2023,4,20,165,19
31,4,1,1990,1994,5,25,165,19
31,5,4,2005,2009,5,25,165,19
31,6,7,2020,2023,4,20,165,19
31,7,4,2005,2009,5,25,165,19
32,1,4,2005,2009,5,25,175,20
32,2,3,2000,2004,5,25,175,20
32,3,1,1990,1994,5,25,175,20
32,4,2,1995,1999,5,25,175,20
32,5,4,2005,2009,5,25,175,20
32,6,2,1995,1999,5,25,175,20
32,7,2,1995,1999,5,25,175,20
33,1,7,2020,2023,4,20,170,19
33,2,2,1995,1999,5,25,170,19
33,3,1,1990,1994,5,25,170,19
33,4,1,1990,1994,5,25,170,19
33,5,3,2000,2004,5,25,170,19
33,6,3,2000,2004,5,25,170,19
33,7,3,2000,2004,5,25,170,19
34,1,2,1995,1999,5,25,170,19
34,2,6,2015,2019,5,25,170,19
34,3,6,2015,2019,5,25,170,19
34,4,1,1990,1994,5,25,170,19
34,5,1,1990,1994,5,25,170,19
34,6,1,1990,1994,5,25,170,19
34,7,7,2020,2023,4,20,170,19
35,1,5,2010,2014,5,25,160,19
35,2,2,1995,1999,5,25,160,19
35,3,7,2020,2023,4,20,160,19
35,4,7,2020,2023,4,20,160,19
35,5,2,1995,1999,5,25,160,19
35,6,4,2005,2009,5,25,160,19
35,7,7,2020,2023,4,20,160,19
36,1,4,2005,2009,5,25,170,19
36,2,1,1990,1994,5,25,170,19
36,3,7,2020,2023,4,20,170,19
36,4,1,1990,1994,5,25,170,19
36,5,4,2005,2009,5,25,170,19
36,6,4,2005,2009,5,25,170,19
36,7,3,2000,2004,5,25,170,19
37,1,1,1990,1994,5,25,170,29
37,2,4,2005,2009,5,25,170,29
37,3,3,2000,2004,5,25,170,29
37,4,6,2015,2019,5,25,170,29
37,5,5,2010,2014,5,25,170,29
37,6,6,2015,2019,5,25,170,29
37,7,7,2020,2023,4,20,170,29
38,1,7,2020,2023,4,20,170,34
38,2,4,2005,2009,5,25,170,34
38,3,6,2015,2019,5,25,170,34
38,4,1,1990,1994,5,25,170,34
38,5,5,2010,2014,5,25,170,34
38,6,2,1995,1999,5,25,170,34
38,7,3,2000,2004,5,25,170,34
39,1,7,2020,2023,4,20,165,19
39,2,6,2015,2019,5,25,165,19
39,3,6,2015,2019,5,25,165,19
39,4,6,2015,2019,5,25,165,19
39,5,4,2005,2009,5,25,165,19
39,6,2,1995,1999,5,25,165,19
39,7,7,2020,2023,4,20,165,19
40,1,4,2005,2009,5,25,175,30
40,2,5,2010,2014,5,25,175,30
40,3,5,2010,2014,5,25,175,30
40,4,2,1995,1999,5,25,175,30
40,5,6,2015,2019,5,25,175,30
40,6,1,1990,1994,5,25,175,30
40,7,3,2000,2004,5,25,175,30
41,1,1,1990,1994,5,25,170,29
41,2,6,2015,2019,5,25,170,29
41,3,4,2005,2009,5,25,170,29
41,4,7,2020,2023,4,20,170,29
41,5,2,1995,1999,5,25,170,29
41,6,1,1990,1994,5,25,170,29
41,7,3,2000,2004,5,25,170,29
42,1,5,2010,2014,5,25,170,24
42,2,4,2005,2009,5,25,170,24
42,3,6,2015,2019,5,25,170,24
42,4,6,2015,2019,5,25,170,24
42,5,2,1995,1999,5,25,170,24
42,6,5,2010,2014,5,25,170,24
42,7,7,2020,2023,4,20,170,24
43,1,1,1990,1994,5,25,170,19
43,2,1,1990,1994,5,25,170,19
43,3,5,2010,2014,5,25,170,19
43,4,7,2020,2023,4,20,170,19
43,5,1,1990,1994,5,25,170,19
43,6,4,2005,2009,5,25,170,19
43,7,4,2005,2009,5,25,170,19
44,1,6,2015,2019,5,25,170,24
44,2,7,2020,2023,4,20,170,24
44,3,1,1990,1994,5,25,170,24
44,4,4,2005,2009,5,25,170,24
44,5,4,2005,2009,5,25,170,24
44,6,1,1990,1994,5,25,170,24
44,7,3,2000,2004,5,25,170,24
45,1,5,2010,2014,5,25,175,20
45,2,5,2010,2014,5,25,175,20
45,3,1,1990,1994,5,25,175,20
45,4,3,2000,2004,5,25,175,20
45,5,2,1995,1999,5,25,175,20
45,6,2,1995,1999,5,25,175,20
45,7,2,1995,1999,5,25,175,20
46,1,5,2010,2014,5,25,175,25
46,2,3,2000,2004,5,25,175,25
46,3,1,1990,1994,5,25,175,25
46,4,6,2015,2019,5,25,175,25
46,5,3,2000,2004,5,25,175,25
46,6,2,1995,1999,5,25,175,25
46,7,1,1990,1994,5,25,175,25
47,1,3,2000,2004,5,25,170,24
47,2,7,2020,2023,4,20,170,24
47,3,2,1995,1999,5,25,170,24
47,4,1,1990,1994,5,25,170,24
47,5,6,2015,2019,5,25,170,24
47,6,1,1990,1994,5,25,170,24
47,7,2,1995,1999,5,25,170,24
48,1,5,2010,2014,5,25,175,20
48,2,6,2015,2019,5,25,175,20
48,3,4,2005,2009,5,25,175,20
48,4,3,2000,2004,5,25,175,20
48,5,4,2005,2009,5,25,175,20
48,6,6,2015,2019,5,25,175,20
48,7,6,2015,2019,5,25,175,20
49,1,4,2005,2009,5,25,170,24
49,2,6,2015,2019,5,25,170,24
49,3,5,2010,2014,5,25,170,24
49,4,5,2010,2014,5,25,170,24
49,5,7,2020,2023,4,20,170,24
49,6,1,1990,1994,5,25,170,24
49,7,4,2005,2009,5,25,170,24
50,1,4,2005,2009,5,25,175,20
50,2,2,1995,1999,5,25,175,20
50,3,4,2005,2009,5,25,175,20
50,4,5,2010,2014,5,25,175,20
50,5,4,2005,2009,5,25,175,20
50,6,4,2005,2009,5,25,175,20
50,7,3,2000,2004,5,25,175,20
51,1,3,2000,2004,5,25,170,34
51,2,5,2010,2014,5,25,170,34
51,3,4,2005,2009,5,25,170,34
51,4,7,2020,2023,4,20,170,34
51,5,1,1990,1994,5,25,170,34
51,6,6,2015,2019,5,25,170,34
51,7,2,1995,1999,5,25,170,34
52,1,3,2000,2004,5,25,175,25
52,2,1,1990,1994,5,25,175,25
52,3,4,2005,2009,5,25,175,25
52,4,6,2015,2019,5,25,175,25
52,5,2,1995,1999,5,25,175,25
52,6,3,2000,2004,5,25,175,25
52,7,4,2005,2009,5,25,175,25
53,1,3,2000,2004,5,25,175,15
53,2,3,2000,2004,5,25,175,15
53,3,1,1990,1994,5,25,175,15
53,4,3,2000,2004,5,25,175,15
53,5,5,2010,2014,5,25,175,15
53,6,3,2000,2004,5,25,175,15
53,7,3,2000,2004,5,25,175,15
54,1,5,2010,2014,5,25,165,24
54,2,4,2005,2009,5,25,165,24
54,3,6,2015,2019,5,25,165,24
54,4,6,2015,2019,5,25,165,24
54,5,7,2020,2023,4,20,165,24
54,6,7,2020,2023,4,20,165,24
54,7,2,1995,1999,5,25,165,24
55,1,1,1990,1994,5,25,165,14
55,2,7,2020,2023,4,20,165,14
55,3,1,1990,1994,5,25,165,14
55,4,1,1990,1994,5,25,165,14
55,5,1,1990,1994,5,25,165,14
55,6,5,2010,2014,5,25,165,14
55,7,7,2020,2023,4,20,165,14
56,1,1,1990,1994,5,25,160,14
56,2,7,2020,2023,4,20,160,14
56,3,1,1990,1994,5,25,160,14
56,4,7,2020,2023,4,20,160,14
56,5,5,2010,2014,5,25,160,14
56,6,5,2010,2014,5,25,160,14
56,7,7,2020,2023,4,20,160,14
57,1,4,2005,2009,5,25,170,19
57,2,7,2020,2023,4,20,170,19
57,3,2,1995,1999,5,25,170,19
57,4,4,2005,2009,5,25,170,19
57,5,1,1990,1994,5,25,170,19
57,6,1,1990,1994,5,25,170,19
57,7,4,2005,2009,5,25,170,19
58,1,3,2000,2004,5,25,170,24
58,2,7,2020,2023,4,20,170,24
58,3,2,1995,1999,5,25,170,24
58,4,4,2005,2009,5,25,170,24
58,5,2,1995,1999,5,25,170,24
58,6,4,2005,2009,5,25,170,24
58,7,5,2010,2014,5,25,170,24
59,1,7,2020,2023,4,20,170,24
59,2,4,2005,2009,5,25,170,24
59,3,5,2010,2014,5,25,170,24
59,4,4,2005,2009,5,25,170,24
59,5,1,1990,1994,5,25,170,24
59,6,3,2000,2004,5,25,170,24
59,7,5,2010,2014,5,25,170,24
60,1,4,2005,2009,5,25,170,29
60,2,7,2020,2023,4,20,170,29
60,3,3,2000,2004,5,25,170,29
60,4,6,2015,2019,5,25,170,29
60,5,5,2010,2014,5,25,170,29
60,6,6,2015,2019,5,25,170,29
60,7,1,1990,1994,5,25,170,29
61,1,4,2005,2009,5,25,175,30
61,2,5,2010,2014,5,25,175,30
61,3,3,2000,2004,5,25,175,30
61,4,5,2010,2014,5,25,175,30
61,5,6,2015,2019,5,25,175,30
61,6,2,1995,1999,5,25,175,30
61,7,1,1990,1994,5,25,175,30
62,1,4,2005,2009,5,25,175,25
62,2,3,2000,2004,5,25,175,25
62,3,1,1990,1994,5,25,175,25
62,4,3,2000,2004,5,25,175,25
62,5,5,2010,2014,5,25,175,25
62,6,2,1995,1999,5,25,175,25
62,7,1,1990,1994,5,25,175,25
63,1,3,2000,2004,5,25,170,29
63,2,6,2015,2019,5,25,170,29
63,3,7,2020,2023,4,20,170,29
63,4,1,1990,1994,5,25,170,29
63,5,6,2015,2019,5,25,170,29
63,6,4,2005,2009,5,25,170,29
63,7,5,2010,2014,5,25,170,29
64,1,3,2000,2004,5,25,170,24
64,2,6,2015,2019,5,25,170,24
64,3,3,2000,2004,5,25,170,24
64,4,2,1995,1999,5,25,170,24
64,5,4,2005,2009,5,25,170,24
64,6,7,2020,2023,4,20,170,24
64,7,3,2000,2004,5,25,170,24
65,1,7,2020,2023,4,20,165,19
65,2,5,2010,2014,5,25,165,19
65,3,7,2020,2023,4,20,165,19
65,4,3,2000,2004,5,25,165,19
65,5,5,2010,2014,5,25,165,19
65,6,5,2010,2014,5,25,165,19
65,7,6,2015,2019,5,25,165,19
66,1,4,2005,2009,5,25,170,14
66,2,3,2000,2004,5,25,170,14
66,3,3,2000,2004,5,25,170,14
66,4,4,2005,2009,5,25,170,14
66,5,4,2005,2009,5,25,170,14
66,6,4,2005,2009,5,25,170,14
66,7,7,2020,2023,4,20,170,14
67,1,2,1995,1999,5,25,165,19
67,2,7,2020,2023,4,20,165,19
67,3,3,2000,2004,5,25,165,19
67,4,1,1990,1994,5,25,165,19
67,5,7,2020,2023,4,20,165,19
67,6,1,1990,1994,5,25,165,19
67,7,2,1995,1999,5,25,165,19
68,1,2,1995,1999,5,25,170,24
68,2,2,1995,1999,5,25,170,24
68,3,4,2005,2009,5,25,170,24
68,4,5,2010,2014,5,25,170,24
68,5,2,1995,1999,5,25,170,24
68,6,3,2000,2004,5,25,170,24
68,7,7,2020,2023,4,20,170,24
69,1,7,2020,2023,4,20,165,19
69,2,5,2010,2014,5,25,165,19
69,3,1,1990,1994,5,25,165,19
69,4,6,2015,2019,5,25,165,19
69,5,6,2015,2019,5,25,165,19
69,6,7,2020,2023,4,20,165,19
69,7,1,1990,1994,5,25,165,19
70,1,6,2015,2019,5,25,175,25
70,2,5,2010,2014,5,25,175,25
70,3,5,2010,2014,5,25,175,25
70,4,2,1995,1999,5,25,175,25
70,5,6,2015,2019,5,25,175,25
70,6,1,1990,1994,5,25,175,25
70,7,4,2005,2009,5,25,175,25
71,1,2,1995,1999,5,25,170,24
71,2,3,2000,2004,5,25,170,24
71,3,5,2010,2014,5,25,170,24
71,4,6,2015,2019,5,25,170,24
71,5,2,1995,1999,5,25,170,24
71,6,3,2000,2004,5,25,170,24
71,7,7,2020,2023,4,20,170,24
72,1,4,2005,2009,5,25,175,10
72,2,4,2005,2009,5,25,175,10
72,3,4,2005,2009,5,25,175,10
72,4,6,2015,2019,5,25,175,10
72,5,4,2005,2009,5,25,175,10
72,6,4,2005,2009,5,25,175,10
72,7,4,2005,2009,5,25,175,10
73,1,4,2005,2009,5,25,165,19
73,2,5,2010,2014,5,25,165,19
73,3,2,1995,1999,5,25,165,19
73,4,5,2010,2014,5,25,165,19
73,5,5,2010,2014,5,25,165,19
73,6,7,2020,2023,4,20,165,19
73,7,7,2020,2023,4,20,165,19
74,1,1,1990,1994,5,25,170,19
74,2,7,2020,2023,4,20,170,19
74,3,5,2010,2014,5,25,170,19
74,4,5,2010,2014,5,25,170,19
74,5,5,2010,2014,5,25,170,19
74,6,4,2005,2009,5,25,170,19
74,7,5,2010,2014,5,25,170,19
75,1,4,2005,2009,5,25,170,29
75,2,3,2000,2004,5,25,170,29
75,3,7,2020,2023,4,20,170,29
75,4,6,2015,2019,5,25,170,29
75,5,5,2010,2014,5,25,170,29
75,6,2,1995,1999,5,25,170,29
75,7,3,2000,2004,5,25,170,29
76,1,2,1995,1999,5,25,165,19
76,2,5,2010,2014,5,25,165,19
76,3,1,1990,1994,5,25,165,19
76,4,1,1990,1994,5,25,165,19
76,5,7,2020,2023,4,20,165,19
76,6,2,1995,1999,5,25,165,19
76,7,7,2020,2023,4,20,165,19
77,1,2,1995,1999,5,25,170,29
77,2,7,2020,2023,4,20,170,29
77,3,5,2010,2014,5,25,170,29
77,4,2,1995,1999,5,25,170,29
77,5,1,1990,1994,5,25,170,29
77,6,6,2015,2019,5,25,170,29
77,7,3,2000,2004,5,25,170,29
78,1,4,2005,2009,5,25,170,19
78,2,7,2020,2023,4,20,170,19
78,3,1,1990,1994,5,25,170,19
78,4,4,2005,2009,5,25,170,19
78,5,2,1995,1999,5,25,170,19
78,6,2,1995,1999,5,25,170,19
78,7,2,1995,1999,5,25,170,19
79,1,7,2020,2023,4,20,160,24
79,2,5,2010,2014,5,25,160,24
79,3,4,2005,2009,5,25,160,24
79,4,1,1990,1994,5,25,160,24
79,5,7,2020,2023,4,20,160,24
79,6,2,1995,1999,5,25,160,24
79,7,7,2020,2023,4,20,160,24
80,1,5,2010,2014,5,25,170,24
80,2,4,2005,2009,5,25,170,24
80,3,6,2015,2019,5,25,170,24
80,4,4,2005,2009,5,25,170,24
80,5,7,2020,2023,4,20,170,24
80,6,5,2010,2014,5,25,170,24
80,7,1,1990,1994,5,25,170,24
81,1,6,2015,2019,5,25,165,19
81,2,1,1990,1994,5,25,165,19
81,3,7,2020,2023,4,20,165,19
81,4,3,2000,2004,5,25,165,19
81,5,7,2020,2023,4,20,165,19
81,6,6,2015,2019,5,25,165,19
81,7,6,2015,2019,5,25,165,19
82,1,2,1995,1999,5,25,170,29
82,2,6,2015,2019,5,25,170,29
82,3,7,2020,2023,4,20,170,29
82,4,5,2010,2014,5,25,170,29
82,5,5,2010,2014,5,25,170,29
82,6,1,1990,1994,5,25,170,29
82,7,4,2005,2009,5,25,170,29
83,1,2,1995,1999,5,25,170,19
83,2,2,1995,1999,5,25,170,19
83,3,2,1995,1999,5,25,170,19
83,4,7,2020,2023,4,20,170,19
83,5,4,2005,2009,5,25,170,19
83,6,2,1995,1999,5,25,170,19
83,7,6,2015,2019,5,25,170,19
84,1,4,2005,2009,5,25,160,24
84,2,7,2020,2023,4,20,160,24
84,3,3,2000,2004,5,25,160,24
84,4,7,2020,2023,4,20,160,24
84,5,7,2020,2023,4,20,160,24
84,6,6,2015,2019,5,25,160,24
84,7,2,1995,1999,5,25,160,24
85,1,7,2020,2023,4,20,170,19
85,2,1,1990,1994,5,25,170,19
85,3,3,2000,2004,5,25,170,19
85,4,5,2010,2014,5,25,170,19
85,5,3,2000,2004,5,25,170,19
85,6,3,2000,2004,5,25,170,19
85,7,1,1990,1994,5,25,170,19
86,1,6,2015,2019,5,25,175,20
86,2,3,2000,2004,5,25,175,20
86,3,2,1995,1999,5,25,175,20
86,4,2,1995,1999,5,25,175,20
86,5,6,2015,2019,5,25,175,20
86,6,2,1995,1999,5,25,175,20
86,7,4,2005,2009,5,25,175,20
87,1,7,2020,2023,4,20,170,29
87,2,2,1995,1999,5,25,170,29
87,3,1,1990,1994,5,25,170,29
87,4,5,2010,2014,5,25,170,29
87,5,4,2005,2009,5,25,170,29
87,6,6,2015,2019,5,25,170,29
87,7,2,1995,1999,5,25,170,29
88,1,6,2015,2019,5,25,170,24
88,2,6,2015,2019,5,25,170,24
88,3,5,2010,2014,5,25,170,24
88,4,4,2005,2009,5,25,170,24
88,5,7,2020,2023,4,20,170,24
88,6,5,2010,2014,5,25,170,24
88,7,3,2000,2004,5,25,170,24
89,1,1,1990,1994,5,25,170,29
89,2,7,2020,2023,4,20,170,29
89,3,1,1990,1994,5,25,170,29
89,4,6,2015,2019,5,25,170,29
89,5,4,2005,2009,5,25,170,29
89,6,5,2010,2014,5,25,170,29
89,7,3,2000,2004,5,25,170,29
90,1,1,1990,1994,5,25,175,25
90,2,2,1995,1999,5,25,175,25
90,3,2,1995,1999,5,25,175,25
90,4,1,1990,1994,5,25,175,25
90,5,6,2015,2019,5,25,175,25
90,6,3,2000,2004,5,25,175,25
90,7,5,2010,2014,5,25,175,25
91,1,6,2015,2019,5,25,165,24
91,2,3,2000,2004,5,25,165,24
91,3,3,2000,2004,5,25,165,24
91,4,2,1995,1999,5,25,165,24
91,5,5,2010,2014,5,25,165,24
91,6,7,2020,2023,4,20,165,24
91,7,7,2020,2023,4,20,165,24
92,1,1,1990,1994,5,25,175,20
92,2,6,2015,2019,5,25,175,20
92,3,2,1995,1999,5,25,175,20
92,4,6,2015,2019,5,25,175,20
92,5,3,2000,2004,5,25,175,20
92,6,3,2000,2004,5,25,175,20
92,7,3,2000,2004,5,25,175,20
93,1,2,1995,1999,5,25,175,25
93,2,4,2005,2009,5,25,175,25
93,3,5,2010,2014,5,25,175,25
93,4,3,2000,2004,5,25,175,25
93,5,1,1990,1994,5,25,175,25
93,6,4,2005,2009,5,25,175,25
93,7,1,1990,1994,5,25,175,25
94,1,3,2000,2004,5,25,175,20
94,2,6,2015,2019,5,25,175,20
94,3,6,2015,2019,5,25,175,20
94,4,5,2010,2014,5,25,175,20
94,5,3,2000,2004,5,25,175,20
94,6,3,2000,2004,5,25,175,20
94,7,1,1990,1994,5,25,175,20
95,1,3,2000,2004,5,25,175,15
95,2,2,1995,1999,5,25,175,15
95,3,3,2000,2004,5,25,175,15
95,4,1,1990,1994,5,25,175,15
95,5,3,2000,2004,5,25,175,15
95,6,3,2000,2004,5,25,175,15
95,7,2,1995,1999,5,25,175,15
96,1,5,2010,2014,5,25,170,29
96,2,7,2020,2023,4,20,170,29
96,3,4,2005,2009,5,25,170,29
96,4,3,2000,2004,5,25,170,29
96,5,6,2015,2019,5,25,170,29
96,6,2,1995,1999,5,25,170,29
96,7,3,2000,2004,5,25,170,29
97,1,7,2020,2023,4,20,165,24
97,2,6,2015,2019,5,25,165,24
97,3,7,2020,2023,4,20,165,24
97,4,1,1990,1994,5,25,165,24
97,5,6,2015,2019,5,25,165,24
97,6,3,2000,2004,5,25,165,24
97,7,5,2010,2014,5,25,165,24
98,1,1,1990,1994,5,25,175,25
98,2,6,2015,2019,5,25,175,25
98,3,4,2005,2009,5,25,175,25
98,4,5,2010,2014,5,25,175,25
98,5,5,2010,2014,5,25,175,25
98,6,3,2000,2004,5,25,175,25
98,7,4,2005,2009,5,25,175,25
99,1,6,2015,2019,5,25,170,29
99,2,2,1995,1999,5,25,170,29
99,3,4,2005,2009,5,25,170,29
99,4,1,1990,1994,5,25,170,29
99,5,5,2010,2014,5,25,170,29
99,6,2,1995,1999,5,25,170,29
99,7,7,2020,2023,4,20,170,29
